"Book ID / ISBN","Author","Title","Category","Price(฿)"
"33701","Bilhuber, Jeffrey","Jeffrey Bilhuber's Design Basics / Bilhuber, Jeffrey","Art/Design","240"
"43681","Brunet, Genevieve","Wallpaper, The / Brunet, Genevieve  ","Art/Design","890"
"48334","Buttolph, Angela ","Kate Moss: Style/ Buttolph, Angela ","Art/Design","290"
"17957","Casper, Geraldine J.","Glass Paperweights: In the Art Institute of Chicago / Casper, Geraldine J.","Art/Design","390"
"41471","Catherine Merrick","Curtain Inspiration / Catherine Merrick","Art/Design","290"
"32955","Cavendish, Marshall","Cross Stitch Treasury. Nursery, The / Cavendish, Marshall","Art/Design","150"
"32858","Cavendish, Marshall","Knack, The / Cavendish, Marshall ","Art/Design","190"
"32860","Cavendish, Marshall","Knack, The / Cavendish, Marshall","Art/Design","190"
"32861","Cavendish, Marshall","Knack, The / Cavendish, Marshall","Art/Design","190"
"34508","Conder, Susan","Dried Flowers Drying and Arranging / Conder, Susan ","Art/Design","190"
"18016","Cronin, Vincent","Flowering Of The Renaissance, The / Cronin, Vincent ","Art/Design","190"
"26477","Cummings, Keith","Techniques of Kiln-formed Glass / Cummings, Keith","Art/Design","290"
"28398","Dannatt, Mattia","Mattia Bonetti / Dannatt, Mattia","Art/Design","190"
"45233","David, Peter","Babylon 5: Thirdspace / David, Peter","Art/Design","120"
"46339","Dean, Audrey Vincente","Easy to Make Nursery Crafts / Dean, Audrey Vincente","Art/Design","240"
"32689","De Smedt, Julien","Agenda: JDS Architects: Can We Sustain our Ability to Crisis? / De Smedt, Julien","Art/Design","790"
"17932","Diamond, Kerry","Kevyn Aucoin: A Beautiful Life / Diamond, Kerry","Art/Design","390"
"17992","Durham, Michael S.","Mid-Atlantic States (Smithsonian Guides to Historic America) / Durham, Michael S. ","Art/Design","290"
"46427","Dury, Graham","Viz the Pearl Necklace / Dury, Graham","Art/Design","270"
"47104","Edgington, Ian ","Torchwood: Rift War/Edgington, Ian ","Art/Design","120"
"46871","Emmerling, Mary","Art of the Skull / Emmerling, Mary","Art/Design","290"
"39563","Farro","Life is not a dress size / Farro","Art/Design","240"
"39181","Fassett, Kaffe","Family Album Knitting For Children And Adults / Fassett, Kaffe","Art/Design","170"
"36999","Federman, Matthew","Dead Squad / Fassnauer, Irene","Art/Design","290"
"22298","Fo, Dario","Tricks of the Trade, The / Fo, Dario","Art/Design","120"
"39608","Freeman, Michael","New Thai Style / Freeman, Michael","Art/Design","1200"
"17946","Frost, Lee","Photography (Teach Yourself) / Frost, Lee","Art/Design","270"
"44532","Frost, Lee","Photography (Teach Yourself) / Frost, Lee","Art/Design","270"
"44533","Frost, Lee","Photography (Teach Yourself) / Frost, Lee","Art/Design","270"
"44534","Frost, Lee","Photography (Teach Yourself) / Frost, Lee","Art/Design","270"
"46864","Frost, Lee","Photos that Sells / Frost, Lee","Art/Design","270"
"26023","Gage, John","La couleur dans l'art / Gage, John","Art/Design","240"
"40286","Goodman, Jim","Children Of The Jade Dragon / Goodman, Jim","Art/Design","690"
"40287","Goodman, Jim","Children Of The Jade Dragon / Goodman, Jim","Art/Design","690"
"26097","Gorlin, Alexander","Tomorrow's Houses: New England Modernism / Gorlin, Alexander","Art/Design","490"
"26748","Gundrey, Elizabeth","Arranging Flowers and Plants / Gundrey, Elizabeth","Art/Design","150"
"17918","Harris, Andy","Captain Corelli's Island: Cephallonia / Harris, Andy","Art/Design","290"
"36997","Harris, Lynn","Every Last Piece: 12 Beautiful Design Inspirations Using Scraps, Strings and Applique / Harris, Lynn ","Art/Design","290"
"48944","Hill, John","100 Years 100 Buildings / Hill, John","Art/Design","590"
"18037","Hook, Patrick","Digital Photography (Collins Need to Know?) / Hook, Patrick","Art/Design","240"
"18038","Hook, Patrick","Digital Photography (Collins Need to Know?) / Hurst, Marcia","Art/Design","240"
"17976","Hoppen, Stephanie","White on White: Creating Elegant Interiors with Classic Whites / Hoppen, Stephanie","Art/Design","350"
"46588","Huan, Weiming","Wheel and Deal / Huan, Weiming","Art/Design","790"
"47890","Inglis, Kim ","Asian Bar And Restaurant Design/ Inglis, Kim ","Art/Design","450"
"39879","Jodidio, Philip","100 Contemporary Green Buildings / Jodidio, Philip ","Art/Design","990"
"37254","Jones, Richard","Haunted London / Jones, Richard","Art/Design","190"
"35336","Jouffroy, Alain","Picabia / Jouffroy, Alain","Art/Design","240"
"47845","Jung, Inha ","Architecture and Urbanism in Modern Korea/ Jung, Inha ","Art/Design","890"
"31910","Kitzinger, Sheila","Pregnancy Day by Day / Kitzinger, Sheila","Art/Design","190"
"47842","Kuspit, Donald ","David Black: Urban Sculpture as Proto-Architecture/ Kuspit, Donald ","Art/Design","590"
"48339","Langford, Michael","Alles over fotografie/ Langford, Michael","Art/Design","240"
"37251","Lawrence, Mike & Eaton, Jan","Great Homedecorating Ideas / Lawrence, Mike & Eaton, Jan","Art/Design","190"
"28357","Lee, Vinny","10 Principles of Good Interior Design / Lee, Vinny","Art/Design","290"
"45383","Lemon, Jame","Embroidered Boxes / Lemon, Jame","Art/Design","170"
"17994","Logan, William B.","Deep South (Smithsonian Guides to Historic America) / Logan, William B.","Art/Design","290"
"47834","Lupton, Ellen ","Type on Screen/ Lupton, Ellen ","Art/Design","390"
"17963","Maia, Ronaldo","More Decorating With Flowers / Maia, Ronaldo","Art/Design","390"
"31146","Markowitz, Yvonne J.","Jewels Of Trabert & Hoeffermauboussin: A History Of American Style And Innovation / Markowitz, Yvonne J.","Art/Design","290"
"31147","Markowitz, Yvonne J.","Jewels Of Trabert & Hoeffermauboussin: A History Of American Style And Innovation / Markowitz, Yvonne J.","Art/Design","290"
"28397","Martignoni, Massimo","Best Seller From Italy: Scavolini 1961-2011: 50 Years Of Kitchens, The / Martignoni, Massimo","Art/Design","190"
"35022","Matlins, Antoinette L.","Jewelry and Gems: The Buying Guide - How to Buy Diamonds, Pearls, Colored Gemstones, Gold and Jewelry with Confidence and Knowledge / Matlins, Antoinette L.","Art/Design","190"
"42882","McGillick, Paul ","Sustainable Asian House, The / McGillick, Paul ","Art/Design","890"
"18025","McPhee, John","Roomful Of Hovings And Other Profiles, A / McPhee, John","Art/Design","150"
"25973","Michaud, Roland","La grande muraille de Chine / Michaud, Roland","Art/Design","490"
"17972","Milburn, Ken","Digital Photography: 99 Easy Tips to Make You Look Like a Pro! / Milburn, Ken","Art/Design","270"
"46665","Miller, Judith","Vint Age Home/ Miller, Judith","Art/Design","890"
"26111","Miller, Lynden B.","Parks, Plants, and People: Beautifying the Urban Landscape / Miller, Lynden B. ","Art/Design","390"
"25789","Minogue, Dannii","Dannii: My Style / Minogue, Dannii","Art/Design","240"
"47846","Montgomery, Gladys ","An Elegant Wilderness/ Montgomery, Gladys ","Art/Design","990"
"34385","More, Hilary","Creative Papercrafts / More, Hilary","Art/Design","240"
"17937","Mun-Lee, Lin","Splendors of the New National Palace Museum: The ""Old is New"" NPM Guidebook / Mun-Lee, Lin","Art/Design","240"
"45232","Murdoch Books ","Practical Guide to Paving, A / Murdoch Books ","Art/Design","90"
"17995","Muse, Vance","Northern New England (Smithsonian Guides to Historic America) / Muse, Vance","Art/Design","240"
"47097","Nakajo, Hisaya ","Hana-Kimi/Nakajo, Hisaya ","Art/Design","120"
"32864","Nichols, Richard","Exotic Cars / Nichols, Richard","Art/Design","220"
"48344","Nicholson, Sue","Great big art activity book,The/Nicholson, Sue","Art/Design","290"
"41161","Nickl, Han","New Hospital, The / Nickl, Han","Art/Design","890"
"46667","Niesewand, Nonie; Guild, Tricia","Tricia Guild's Painted Country / Niesewand, Nonie; Guild, Tricia","Art/Design","890"
"42881","Ogburn, Steven ","Blade: King of Graffiti / Ogburn, Steven ","Art/Design","590"
"47198","Okazaki, Manami","Kimono Now/ Okazaki, Manami","Art/Design","790"
"41453","Pantone","Pastels And Neons Chips (Coated And Uncoated) / Pantone","Art/Design","1500"
"39880","Patterson, James","Max Ride: First Flight / Patterson, James","Art/Design","350"
"26100","Paul, Delia","Living Mekong, The / Paul, Delia","Art/Design","490"
"36403","Peck, Denise","Handcrafted Metal Findings: 30 Creative Jewelry Components / Peck, Denise","Art/Design","390"
"38500","Perrone, Lisbeth","Handmade Baby Clothes / Perrone, Lisbeth","Art/Design","190"
"17925","Phillips, Betty Lou","French Connection, The / Phillips, Betty Lou","Art/Design","450"
"41425","Phillipson, Carol","Patchwork & Stitchery / Phillipson, Carol","Art/Design","290"
"47841","Ricci, Stefania ","Amazing Shoemaker,The / Ricci, Stefania ","Art/Design","1200"
"46547","Richter, Peter-Cornell","Georgia O'Keeffe and Alfred Stieglitz / Richter, Peter-Cornell","Art/Design","290"
"17936","Roberts, Morgan J.","Classical Deities and Heroes (Myths of the World)","Art/Design","190"
"47017","Roney, Carley","The Knot Book of Wedding Gowns/ Roney, Carley","Art/Design","350"
"27167","Rush, Elizabeth","Still Lifes from a Vanishing City: essays and photographs from Yangon by Elizabeth Rush / Rush, Elizabeth","Art/Design","1200"
"47108","Ryde, Roo","Children's Rooms/Ryde, Roo","Art/Design","190"
"37256","Savill, Julie","101 Ideas For Upstairs Bedroom, Bathroom / Savill, Julie","Art/Design","150"
"26116","Scaglione, Pino","Italian High Design & High Technology / Scaglione, Pino","Art/Design","390"
"17980","Sebrell, William H.","Food And Nutrition / Sebrell, William H.","Art/Design","190"
"47844","Shapiro ,Suzanne E. ","Nails: The Story of the Modern Manicure / Shapiro ,Suzanne E. ","Art/Design","490"
"26113","Sharoff, Robert","American City: St. Louis Architecture: Three Centuries of Design (American City Series) / Sharoff, Robert","Art/Design","390"
"48946","Shulman, Allan T.","Building Bacardi / Shulman, Allan T.","Art/Design","890"
"37494","Smart, Ted","New Hampshire: A Picture Book to Remember Her by / Smart, Ted","Art/Design","150"
"38501","Sorenson, Veronica","Modern Lace Designs / Sorenson, Veronica","Art/Design","190"
"25971","Sousa, Jörge de","La Memoire Lithographique. 200 Ans D'images / Sousa, Jörge de","Art/Design","490"
"41424","Souter, Gillian","120 Celebration Cross Stitch Cards / Souter, Gillian","Art/Design","290"
"25998","Stierlin, Henri","Cités du désert -L'art antique au Proche-Orient: Pétra, Palmyre, Hatra / Stierlin, Henri","Art/Design","590"
"46432","Swarovski, Nadja ","Swarovski : Fashion, Performance, Jewelry and Design / Swarovski, Nadja ","Art/Design","1500"
"41507","Tamaki,  Jillian ","SuperMutant Magic Academy / Tamaki,  Jillian ","Art/Design","390"
"48151","Taylor, Jennifer","Architecture in the South Pacific: the Ocean of Islands / Taylor, Jennifer","Art/Design","990"
"48152","Taylor, Jennifer","Architecture in the South Pacific: the Ocean of Islands / Taylor, Jennifer","Art/Design","990"
"48387","TED SMART","Creative Christmas book,the/ TED SMART","Art/Design","190"
"26464","Teissig, Karel","Les Techniques du dessin / Teissig, Karel","Art/Design","490"
"46658","Thames & Hudson","Hip Hotels/ Thames & Hudson","Art/Design","290"
"48397","Thomas, Isabelle","Paris street style shoes/ Thomas, Isabelle","Art/Design","390"
"25707","Wan, Gok","How To Dress / Wan, Gok","Art/Design","190"
"33956","Wan, Gok","Work Your Wardrobe: Gok's Gorgeous Guide to Style that Lasts / Wan, Gok","Art/Design","290"
"37255","Wan, Gok","Work Your Wardrobe: Gok's Gorgeous Guide to Style that Lasts / Wan, Gok","Art/Design","270"
"47554","Warren ,William","Thai Style 3rd Edition / Warren ,William","Art/Design","690"
"46343","Watts, Lynda","Making Your Own Cards / Watts, Lynda","Art/Design","290"
"17993","Wiencek, Henry","Southern New England (Smithsonian Guides to Historic America) / Wiencek, Henry","Art/Design","290"
"46587","Wilbur, Claire","Southeast Asia Textiles / Wilbur, Claire","Art/Design","990"
"37252","Windsor, Edward","Crown and Country : Royal London / Windsor, Edward","Art/Design","240"
"5451","Adirex, Paul","Until the Karma Ends -- A Plot to Destroy Burma / Adirex, Paul","Asia","150"
"38237","Ahmed, Iftekhar","Vanshing Traces: Vernacular Housing Of The Chittagong Hill Tracts / Ahmed, Iftekhar","Asia","290"
"37064","Ai, Pun","49 Lahu Stories / Ai, Pun","Asia","290"
"22292","Aikman, Anthony","Jim Tully / Aikman, Anthony","Asia","150"
"20421","Albertsen, Ken","Lali's Passage / Albertsen, Ken","Asia","150"
"20426","Albertsen, Ken","Lali's Passage / Albertsen, Ken","Asia","150"
"35030","Albertsen, Ken","Lali's Passage / Albertsen, Ken","Asia","150"
"33017","Allen, Charles","Plain Tales from the Raj / Allen, Charles","Asia","190"
"23856","Anderson, Liz","Under Running Laughter / Anderson, Liz","Asia","290"
"28819","Atwood, Margaret","New Beginnings / Atwood, Margaret","Asia","150"
"28276","Ayres, David M.","Anatomy of a Crisis: Education, Development and the State in Cambodia, 1953-1998 / Ayres, David M.","Asia","290"
"36942","Bai, Xiao","Game Point (Contemporary Writers From Shanghai) / Bai, Xiao","Asia","190"
"19887","Bailey, Steven K","Exploring Hong Kong: A Visitor's Guide To Hong Kong Island, Kowloon, And The New Territories / Bailey, Steven K","Asia","290"
"19895","Bailey, Steven K.","Strolling in Macau: A Visitor's Guide to Macau, Taipa, and Coloane / Bailey, Steven K. ","Asia","290"
"19898","Bailey, Steven K.","Strolling in Macau: A Visitor's Guide to Macau, Taipa, and Coloane / Bailey, Steven K.","Asia","290"
"28858","Balázs, Bela","Cloak Of Dreams: Chinese Fairy Tales, The / Balázs, Bela","Asia","290"
"5981","Baldwin, R F","Seven Years In Asia / Baldwin, R F","Asia","240"
"5582","Barlas, Robert","Culture Shock!: Sri Lanka / Barlas, Robert","Asia","150"
"42935"," Barr, Michael D.","Lee Kuan Yew / Barr, Michael D.","Asia","290"
"5248","Barrett, Dean","Dragon Slayer: Three Novellas / Barrett, Dean","Asia","190"
"19670","Barrett, Dean","Murder in China Red: A Chinaman Mystery / Barrett, Dean","Asia","190"
"42693","Barrett, Dean ","Murder in China Red / Barrett, Dean ","Asia","190"
"29453","Bastian, Adolf","A Journey in Cambodia and Cochin China 1864 / Bastian, Adolf","Asia","450"
"23607","Beers, Susan-Jane","Jamu: The Ancient Indonesian Art of Herbal Healing / Bastian, Adolf","Asia","190"
"39363","Bekaert, Jacques","Combodia Diary / Bekaert, Jacques","Asia","390"
"46675","Bekaert, Jacques","Tales of Divided Nation : 1983-1986 / Bekaert, Jacques","Asia","390"
"33939","Benedict Rogers","Than Shwe: Unmasking Burma's Tyrant / Benedict Rogers","Asia","240"
"6046","Berlow, Alan","Dead Season: A Story of Murder and Revenge / Berlow, Alan","Asia","150"
"5364","Bernard, Trisha","With the Kama Sutra Under My Arm: An Indian Journey / Bernard, Trisha","Asia","240"
"47206","Beyrer, Chris","War in the Blood: Sex, Politics and AIDS in Southeast Asia/ Beyrer, Chris","Asia","270"
"26585","Biggs, David","Quagmire / Biggs, David","Asia","150"
"28367","Biggs, David","Quagmire / Biggs, David","Asia","190"
"29459","Binh, Nong Quoc","Cultural Revival and the Peoples of Ta Van Commune, Sa Pa, Northern Vietnam / Binh, Nong Quoc","Asia","390"
"36914","Bisco, Barbara M.","Tiger with a Human Soul / Bisco, Barbara M.","Asia","240"
"5515","Blair, Thomas E.","Sexualiry In Southeast Asia And China : Emerging Lssues / Blair, Thomas E.","Asia","240"
"42083","Bonella, Kathryn","Hotel K / Bonella, Kathryn","Asia","190"
"43945","Boo, Katherine ","Behind the Beautiful Forevers / Boo, Katherine ","Asia","220"
"48079","Bouphanouvong, Nakhonkham","Sixteen Years in the Land of Death / Bouphanouvong, Nakhonkham","Asia","390"
"47981","Bourdier, Frederic","Development and Dominion : Indigenous Peoples of Cambodia, Vietnam and Laos / Bourdier, Frederic","Asia","450"
"47883","Bowden, David ","Enchanting Indonesia/ Bowden, David ","Asia","190"
"47884","Bowden, David ","Enchanting Indonesia/ Bowden, David ","Asia","190"
"47887","Bowden, David ","Enchanting Indonesia/ Bowden, David ","Asia","190"
"47888","Bowden, David ","Enchanting Indonesia/ Bowden, David ","Asia","190"
"47953","Breakspear, Arnold ","Twentieth Century Impressions of Siam/Breakspear, Arnold ","Asia","1600"
"13677","Briggs, Paul","Heart, Soul, Fire / Briggs, Paul","Asia","220"
"20936","Broman, Barry","Myanmar: The Land and Its People / Broman, Barry","Asia","390"
"40581","Broman, Barry","Myanmar: The Land And Its People / Broman, Barry","Asia","290"
"19909","Brouwer, Andy","To Cambodia with Love: A Travel Guide for the Connoisseur (To Asia with Love) / Brouwer, Andy","Asia","490"
"19910","Brouwer, Andy","To Cambodia with Love: A Travel Guide for the Connoisseur (To Asia with Love) / Brouwer, Andy","Asia","490"
"19883","Brown, Janet","Almost Home: The Asian Search of a Geographic Trollop / Brown, Janet","Asia","290"
"19884","Brown, Janet","Almost Home: The Asian Search of a Geographic Trollop / Brown, Janet ","Asia","290"
"34661","Brown, Janet","Almost Home: The Asian Search of a Geographic Trollop / Brown, Janet ","Asia","290"
"19893","Brown, Janet","The Prince, the Demon King, and the Monkey Warrior / Brown, Janet","Asia","290"
"19894","Brown, Janet","The Prince, the Demon King, and the Monkey Warrior / Brown, Janet ","Asia","290"
"5273","Brown, Liam D'Arcy","Green Dragon, Sombre Warrior: Travels to China's Extremes / Brown, Liam D'Arcy ","Asia","190"
"42947","Brown, Louise ","Sex Slaves / Brown, Louise ","Asia","240"
"43200","Brown, Louise","Sex Slaves / Brown, Louise","Asia","190"
"43201","Brown, Louise","Sex Slaves / Brown, Louise","Asia","190"
"19878","Brubaker, David R.","Liberace's Filipino Cousin / Brubaker, David R.","Asia","290"
"19879","Brubaker, David R.","Liberace's Filipino Cousin / Brubaker, David R.","Asia","290"
"37065","Brunsaxel, R. H.","Burmese Puppetry / Brunsaxel, R. H.","Asia","490"
"5590","Burns, Robert","Doing Business in Asia / Burns, Robert","Asia","220"
"34913","Buruma, Ian","Bad Elements: Chinese Rebels from Los Angeles to beijing. / Buruma, Ian","Asia","190"
"5449","Cao Ky, Nguyen","Buddha's Child: My Fight to Save Vietnam / Cao Ky, Nguyen","Asia","270"
"43644","Carter, Anne ","Bewitched by Burma / Carter, Anne ","Asia","240"
"43645","Carter, Anne ","Bewitched by Burma / Carter, Anne ","Asia","240"
"19870","Chandler, David","A History of Cambodia Second Edition / Chandler, David","Asia","290"
"15817","Chandler, David","Facing the Cambodian Past: Selected Essays, 1971-1994 / Chandler, David","Asia","290"
"39461","Chandler, David","Facing The Cambodian Past / Chandler, David","Asia","290"
"44984","Chandler, David","Facing The Cambodian Past / Chandler, David","Asia","290"
"29178","Chandler, David","Facing The Cambodian Past. Selected Essays 1971-1994. / Chandler, David","Asia","240"
"45424","Chandler, David","History of Cambodia, A / Chandler, David","Asia","220"
"39462","Chandler, David","Voices From S-21 / Chandler, David / Chandler, David","Asia","240"
"20618","Chandler, David P.","Dictionary of South and Southeast Asian Art / Chandler, David P.","Asia","150"
"44356","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44358","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44360","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44827","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44828","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44829","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44830","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44831","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44832","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44833","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
"44834","Chaturachinda, Gwyneth","Dictionary of South and Southeast Asian Art / Chaturachinda, Gwyneth","Asia","220"
